country_name,location_name,service_point_name,service_type,satisfied,satisfied_num,idea,lat_lon,time_zone,created_at_tz,gender,sentence
Uganda,Palabek,Palabek: Livelihood Pulse,Livelihoods,True,1,Buy a vehicle for the traders in palabek settlement to help us in going for auction in other areas like come traders here.,"3.31308419,32.40578580",Africa/Kampala,1/28/2021 12:24,MALE,We need buy vehicle traders palabek
Uganda,Palabek,Palabek: Livelihood Pulse,Livelihoods,False,0,Support us with a transport means to take our agricultural products to the markets in kitgum or Gulu so that we sell at a favourable price.,"3.31308419,32.40578580",Africa/Kampala,1/28/2021 12:21,MALE,We need support us transport means
Uganda,Palabek,Palabek: Livelihood Pulse,Livelihoods,False,0,Bring a box for some saving groups in zone 6 block 5 that did not get so that they also get it to keep their money.,"3.31308419,32.40578580",Africa/Kampala,1/28/2021 12:13,MALE,We need bring box saving groups
Uganda,Palabek,Palabek: Livelihood Pulse,Livelihoods,False,0,Support us with ropes to tie our goats during this dry season so that they don't destroy peoples properties..,"3.31308419,32.40578580",Africa/Kampala,1/28/2021 12:08,MALE,We need support us ropes tie
Uganda,Palabek,Palabek: Livelihood Pulse,Livelihoods,False,0,Support our group with a pop corn machine that works with charcoal so that we make money from it.,"3.31308419,32.40578580",Africa/Kampala,1/28/2021 11:50,MALE,We need support group pop corn
Uganda,Nakivale Juru,Nakivale Juru: Protection Pulse,Protection,True,1,Be receiving only cases that are referred to offices by RWCs for us to have respect in the community because people go to offices and lie,"-0.82284000,30.93943100",Africa/Kampala,1/28/2021 10:52,FEMALE,We need be receiving cases referred
Uganda,Palabek,Palabek: Livelihood Pulse,Livelihoods,False,0,Train saving groups on the importance of investments and how to identify good investment opportunities so that their money is used well.,"3.31308419,32.40578580",Africa/Kampala,1/28/2021 10:27,MALE,We need train saving groups importance
Uganda,Nakivale Juru,Nakivale Juru: Protection Pulse,Protection,True,1,Build houses for total orphans for them to own houses because there are those who don't have where to live,"-0.82284000,30.93943100",Africa/Kampala,1/28/2021 10:25,MALE,We need build houses total orphans
Uganda,Palabek,Palabek: Livelihood Pulse,Livelihoods,False,0,Provide seeds early this time so that we can get good yields due to planting at the right time.,"3.31308419,32.40578580",Africa/Kampala,1/28/2021 10:22,MALE,We need provide seeds early time
Uganda,Palabek,Palabek: Livelihood Pulse,Livelihoods,True,1,Hire bigger land for the agricultural groups so that they can do farming on a wider scale and get higher profits that can benefit them more.,"3.31308419,32.40578580",Africa/Kampala,1/28/2021 10:20,MALE,We need hire bigger land agricultural
Uganda,Palabek,Palabek: Livelihood Pulse,Livelihoods,False,0,Support us to start a brick laying project so that we can make money like the youth in the host community.,"3.31308419,32.40578580",Africa/Kampala,1/28/2021 10:19,MALE,We need support us start brick
Uganda,Nakivale Juru,Nakivale Juru: Protection Pulse,Protection,True,1,Reallocate ration cards from Kyaka to Nakivale to help people to get food because some have spent three years without receiving food,"-0.82284000,30.93943100",Africa/Kampala,1/28/2021 10:16,MALE,We need reallocate ration cards kyaka
Uganda,Nakivale Juru,Nakivale Juru: Protection Pulse,Protection,True,1,Try to give us knickers next time to enable us to wear pads because we did not get them,"-0.82284000,30.93943100",Africa/Kampala,1/28/2021 10:09,MALE,We need try give us knickers
Uganda,Nakivale Juru,Nakivale Juru: Protection Pulse,Protection,False,0,Solve people's issues on houses mostly PSNs by giving them plastic sheetings to put on houses because they are suffering so much,"-0.82284000,30.93943100",Africa/Kampala,1/28/2021 10:03,MALE,We need solve people issues houses
