idea,sentence
Buy a vehicle for the traders in palabek settlement to help us in going for auction in other areas like come traders here.,We need buy vehicle traders palabek
Support us with a transport means to take our agricultural products to the markets in kitgum or Gulu so that we sell at a favourable price.,We need support us transport means
Bring a box for some saving groups in zone 6 block 5 that did not get so that they also get it to keep their money.,We need bring box saving groups
Support us with ropes to tie our goats during this dry season so that they don't destroy peoples properties..,We need support us ropes tie
Support our group with a pop corn machine that works with charcoal so that we make money from it.,We need support group pop corn
Be receiving only cases that are referred to offices by RWCs for us to have respect in the community because people go to offices and lie,We need be receiving cases referred
Train saving groups on the importance of investments and how to identify good investment opportunities so that their money is used well.,We need train saving groups importance
Build houses for total orphans for them to own houses because there are those who don't have where to live,We need build houses total orphans
Provide seeds early this time so that we can get good yields due to planting at the right time.,We need provide seeds early time
Hire bigger land for the agricultural groups so that they can do farming on a wider scale and get higher profits that can benefit them more.,We need hire bigger land agricultural
Support us to start a brick laying project so that we can make money like the youth in the host community.,We need support us start brick
Reallocate ration cards from Kyaka to Nakivale to help people to get food because some have spent three years without receiving food,We need reallocate ration cards kyaka
Try to give us knickers next time to enable us to wear pads because we did not get them,We need try give us knickers
Solve people's issues on houses mostly PSNs by giving them plastic sheetings to put on houses because they are suffering so much,We need solve people issues houses
Construct houses for people who missed this support last time because houses for those PSNs don't favour them in terms of wellbeing ,We need construct houses people missed
Support us members of fish project with fridge here in Kagoma so that we can store fresh fish for our customers during market days.,We need support us members fish
Help us raise our children property by allowing them to go to school because most desirable behaviors are adapted from such institutions,We need help us raise children
Recruit casual workers who acquired building and concrete practice skills to be working so that we gain experience and become foremen.,We need recruit casual workers acquired
Employ one more legal officer in order for people to be receiving help every time because one officer is not enough,We need employ one legal officer
Be visiting villages and we tell them our problems about violence because cases are many in the community,We need be visiting villages tell
Provide skills on how to make bread and cakes for Kasonga bakery project so that we can increase on our products since demand is high.,We need provide skills make bread
Support orphans with clothes for them to forget problems they face due to lose of parents because at times foster parents abuse them,We need support orphans clothes forget
Educate Maratatu B Boda Boda riders with road signs and regulations in order for them to ride while observing rules to avoid  accidents.,We need educate maratatu b boda
Provide vegetable seeds and watering cans for us to grow them in the dry season and make money after selling since they Scarce these days.,We need provide vegetable seeds watering
Support youth in zone 6 with cash grants to start doing business of selling in auctions to be able to get out of poverty.,We need support youth zone 6
Extend the branch of Nakivale community library to Juru sub Basecamp since it's tiresome to walk from Juru to Base camp due to long distance,We need extend branch nakivale community
"Follow up people who are being violated by the last people, partner or organization to help them, they're facing trauma due to lack of hope ",We need follow people violated last
"If a ressettlement opportunity comes, begin with people who've been refugees for over 15 & above years,we've faced much troubles than others",We need if ressettlement opportunity comes
